06/04 09:33:31 PM | Arguments:
06/04 09:33:58 PM | Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.069229	Accuracy: 97.8160%
06/04 09:33:58 PM | Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.072877	Accuracy: 97.8259%
06/04 09:33:58 PM | Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.021752	Accuracy: 97.8208%
06/04 09:33:58 PM | Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.008147	Accuracy: 97.8255%
06/04 09:33:59 PM | Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.030739	Accuracy: 97.8347%
06/04 09:33:59 PM | Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.070321	Accuracy: 97.8321%
06/04 09:33:59 PM | Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.024474	Accuracy: 97.8364%
06/04 09:33:59 PM | Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.061092	Accuracy: 97.8541%
06/04 09:33:59 PM | Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.058825	Accuracy: 97.8580%
06/04 09:33:59 PM | Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.107693	Accuracy: 97.8507%
06/04 09:33:59 PM | Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.024320	Accuracy: 97.8502%
06/04 09:33:59 PM | Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.125424	Accuracy: 97.8518%
06/04 09:34:00 PM | Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.126841	Accuracy: 97.8555%
06/04 09:34:00 PM | Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.074580	Accuracy: 97.8591%
06/04 09:34:00 PM | Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.032104	Accuracy: 97.8688%
06/04 09:34:00 PM | Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.058030	Accuracy: 97.8741%
06/04 09:34:00 PM | Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.046810	Accuracy: 97.8793%
06/04 09:34:00 PM | Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.019651	Accuracy: 97.8824%
06/04 09:34:00 PM | Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.133685	Accuracy: 97.8738%
06/04 09:34:01 PM | Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.026078	Accuracy: 97.8846%
06/04 09:34:01 PM | Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.013956	Accuracy: 97.8970%
06/04 09:34:01 PM | Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.065913	Accuracy: 97.9054%
06/04 09:34:01 PM | Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.004396	Accuracy: 97.9173%
06/04 09:34:01 PM | Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.057665	Accuracy: 97.9142%
06/04 09:34:01 PM | Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.079611	Accuracy: 97.9149%
06/04 09:34:01 PM | Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.029009	Accuracy: 97.9191%
06/04 09:34:01 PM | Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.085975	Accuracy: 97.9303%
06/04 09:34:02 PM | Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.103510	Accuracy: 97.9289%
06/04 09:34:02 PM | Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.169989	Accuracy: 97.9311%
06/04 09:34:02 PM | Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.184754	Accuracy: 97.9212%
06/04 09:34:02 PM | Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.230176	Accuracy: 97.9099%
06/04 09:34:02 PM | Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.099327	Accuracy: 97.9055%
06/04 09:34:04 PM | Test set: Average loss: 0.0001, Accuracy: 9837/10000 (98.37%)

06/04 09:34:04 PM | Save model with best accuracy: 98.3700%
06/04 09:34:04 PM | Current best test accuracy: 98.3700%
06/04 09:34:04 PM | Train Epoch: 3 [0/60000 (0%)]	Loss: 0.012312	Accuracy: 100.0000%
06/04 09:34:05 PM | Train Epoch: 3 [640/60000 (1%)]	Loss: 0.046114	Accuracy: 98.8636%
06/04 09:34:05 PM | Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.054121	Accuracy: 98.7351%
06/04 09:34:05 PM | Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.040536	Accuracy: 98.7903%
06/04 09:34:05 PM | Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.014021	Accuracy: 98.7424%
06/04 09:34:05 PM | Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.029745	Accuracy: 98.7745%
06/04 09:34:05 PM | Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.074668	Accuracy: 98.6168%
06/04 09:34:05 PM | Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.059680	Accuracy: 98.6136%
06/04 09:34:05 PM | Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.018068	Accuracy: 98.5147%
06/04 09:34:06 PM | Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.022361	Accuracy: 98.5920%
06/04 09:34:06 PM | Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.055702	Accuracy: 98.5458%
06/04 09:34:06 PM | Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.021689	Accuracy: 98.5642%
06/04 09:34:06 PM | Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.037880	Accuracy: 98.5279%
06/04 09:34:06 PM | Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.011157	Accuracy: 98.4852%
06/04 09:34:06 PM | Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.087402	Accuracy: 98.4597%
06/04 09:34:06 PM | Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.087030	Accuracy: 98.4375%
06/04 09:34:07 PM | Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.150101	Accuracy: 98.4375%
06/04 09:34:07 PM | Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.085249	Accuracy: 98.3827%
06/04 09:34:07 PM | Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.009139	Accuracy: 98.4202%
06/04 09:34:07 PM | Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.040245	Accuracy: 98.4784%
06/04 09:34:07 PM | Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.033621	Accuracy: 98.4686%
06/04 09:34:07 PM | Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.018830	Accuracy: 98.4745%
06/04 09:34:07 PM | Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.007270	Accuracy: 98.4870%
06/04 09:34:08 PM | Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.017838	Accuracy: 98.4916%
06/04 09:34:08 PM | Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.016830	Accuracy: 98.5023%
06/04 09:34:08 PM | Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.082132	Accuracy: 98.4811%
06/04 09:34:08 PM | Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.004642	Accuracy: 98.4674%
06/04 09:34:08 PM | Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.008417	Accuracy: 98.4952%
06/04 09:34:08 PM | Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.063759	Accuracy: 98.4987%
06/04 09:34:08 PM | Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.015435	Accuracy: 98.4912%
06/04 09:34:09 PM | Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.070304	Accuracy: 98.4946%
06/04 09:34:09 PM | Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.004275	Accuracy: 98.4676%
06/04 09:34:09 PM | Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.032863	Accuracy: 98.4667%
06/04 09:34:09 PM | Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.011268	Accuracy: 98.4658%
06/04 09:34:09 PM | Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.027310	Accuracy: 98.4696%
06/04 09:34:09 PM | Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.064525	Accuracy: 98.4642%
06/04 09:34:09 PM | Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.021673	Accuracy: 98.4591%
06/04 09:34:10 PM | Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.040610	Accuracy: 98.4459%
06/04 09:34:10 PM | Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.026013	Accuracy: 98.4334%
